"status_type","status","total_names","year_since_2000_count","authority_author_count","authority_year_count","original_combination_total","original_rank_count","authority_citation_count","verified_authority_citation_count","authority_page_count","authority_link_count","authority_page_link_count","type_locality_count","original_type_locality_count","type_coordinates_count","type_specimen_count","type_specimen_link_count"
"Nomenclature Status","as_emended",43,1,43,43,43,43,43,40,43,39,33,43,36,9,38,27
"Nomenclature Status","available",26372,1172,26372,26364,26292,26292,26313,21904,26053,20349,17200,26275,17481,2713,19915,12746
"Nomenclature Status","before_1758",7,0,7,7,7,7,7,6,7,6,2,1,1,0,0,0
"Nomenclature Status","conditional",6,0,6,6,6,6,6,5,6,0,0,6,4,0,3,0
"Nomenclature Status","fully_suppressed",8,0,8,8,8,8,8,5,8,5,6,6,4,0,2,1
"Nomenclature Status","hybrid_as_such",7,0,7,7,7,7,7,7,7,7,5,4,4,0,0,0
"Nomenclature Status","hypothetical_concept",1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0
"Nomenclature Status","inconsistently_binominal",91,0,91,91,91,91,91,88,90,88,87,71,41,1,0,0
"Nomenclature Status","incorrect_original_spelling",46,3,46,46,46,46,46,38,46,29,22,6,0,0,1,1
"Nomenclature Status","incorrect_subsequent_spelling",3088,696,3088,3088,3087,3087,3086,2818,3066,2306,1285,179,60,0,2,1
"Nomenclature Status","infrasubspecific",425,0,425,425,425,425,423,373,420,327,311,378,293,0,40,18
"Nomenclature Status","justified_emendation",48,3,48,48,47,47,48,44,48,41,37,5,1,0,0,0
"Nomenclature Status","mandatory_change",2,0,2,2,2,2,2,1,2,1,1,0,0,0,0,0
"Nomenclature Status","misidentification",291,0,291,291,290,290,290,249,287,234,205,164,81,0,4,2
"Nomenclature Status","name_combination",16182,8466,16182,16182,16182,16182,16182,16135,10728,11714,4301,100,61,0,10,4
"Nomenclature Status","no_type_specified",3,3,3,3,3,3,3,3,3,2,1,2,2,0,1,0
"Nomenclature Status","nomen_novum",939,13,939,939,939,939,939,805,927,735,628,925,693,31,498,242
"Nomenclature Status","nomen_nudum",1213,63,1213,1213,1205,1205,1207,893,1174,792,629,553,246,6,54,19
"Nomenclature Status","not_explicitly_new",2,2,2,2,2,2,2,2,2,0,0,2,2,0,0,0
"Nomenclature Status","not_intended_as_a_scientific_name",65,0,65,65,65,65,65,64,65,59,56,22,9,0,0,0
"Nomenclature Status","not_published_with_a_generic_name",27,0,27,27,27,27,27,26,27,26,27,24,19,1,6,0
"Nomenclature Status","not_used_as_valid",210,0,210,210,210,210,210,180,209,174,147,97,30,3,15,8
"Nomenclature Status","partially_suppressed",32,0,32,32,32,32,32,25,32,25,24,31,22,0,6,0
"Nomenclature Status","preoccupied",1210,6,1210,1210,1205,1205,1203,907,1178,853,765,1172,786,19,393,180
"Nomenclature Status","rejected_by_fiat",35,35,35,35,35,35,35,35,35,0,0,35,35,1,35,1
"Nomenclature Status","subsequent_usage",175,4,175,175,175,175,174,160,175,150,131,64,46,0,2,1
"Nomenclature Status","unjustified_emendation",239,17,239,239,238,238,239,218,235,199,155,52,24,1,6,3
"Nomenclature Status","unpublished",5,1,5,5,5,5,5,3,4,0,0,0,0,0,0,0
"Nomenclature Status","unpublished_electronic",316,315,316,316,316,316,316,316,76,313,240,10,9,8,9,0
"Nomenclature Status","unpublished_pending",2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0
"Nomenclature Status","unpublished_supplement",2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0
"Nomenclature Status","unpublished_thesis",31,5,31,31,31,31,31,24,26,1,0,19,17,3,16,11
"Nomenclature Status","variant",27,0,27,27,22,22,23,0,20,0,5,4,0,0,0,0
"Nomenclature Status","variety_or_form",37,5,37,37,37,37,37,19,37,15,6,27,7,1,17,0
"Validity Status","composite",10,0,10,10,10,10,10,7,9,7,6,10,6,0,3,0
"Validity Status","hybrid",12,1,12,12,12,12,12,12,12,10,8,6,6,0,1,0
"Validity Status","nomen_dubium",475,29,475,475,470,470,475,414,467,393,328,327,255,4,92,25
"Validity Status","species",6759,899,6759,6759,6759,6759,6759,6150,6756,5820,4619,6759,5282,1852,5941,3617
"Validity Status","species_inquirenda",94,0,94,94,94,94,94,88,93,80,63,79,71,1,18,3
"Validity Status","synonym",42880,9494,42880,42872,42783,42783,42798,37821,37001,31393,20679,22886,14247,943,14977,9600
"Total","total_synonyms",50230,10423,50230,50222,50128,50128,50148,44492,44338,37703,25703,30067,19867,2800,21032,13245
